Entity ID,Entity Name
780,Army Champions
781,Beauty and the Beach
782,Down on the Farm
783,Forty Boys and a Song
784,Kings of the Turf
785,Of Pups and Puzzles
786,Sagebrush and Silver
787,Alive in the Deep
788,Forbidden Passage
789,The Gay Parisian
790,Main Street on the March!
791,The Tanks Are Coming
792,Appointment for Love
793,The Devil Pays Off
794,The Men in Her Life
795,Skylark
796,Topper Returns
797,Flight Command
798,I Wanted Wings
799,The Invisible Woman
800,The Sea Wolf
801,A Yank in the R.A.F.
802,The Devil and Miss Jones
803,"Tall, Dark and Handsome"
804,"Tom, Dick and Harry"
805,The Lady Eve
806,Meet John Doe
807,Night Train
808,"To Rey Scott for his extraordinary achievement in producing Kukan , the film record of China's struggle, including its photography with a 16mm camera under the most difficult and dangerous conditions."
809,"To The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film, Target for Tonight ."
810,"To Leopold Stokowski and his associates for their unique achievement in the creation of a new form of visualized music in Walt Disney's production, Fantasia , thereby widening the scope of the motion picture as entertainment and as an art form."
811,"To Walt Disney, William Garity, John N. A. Hawkins and the RCA Manufacturing Company for their outstanding contribution to the advancement of the use of sound in motion pictures through the production of Fantasia ."
812,Walt Disney
813,"To ELECTRICAL RESEARCH PRODUCTS DIVISION OF WESTERN ELECTRIC CO., INC., for the development of the precision integrating sphere densitometer."
814,To RCA MANUFACTURING COMPANY for the design and development of the MI-3043 Uni-directional microphone.
815,To RAY WILKINSON and the PARAMOUNT STUDIO LABORATORY for pioneering in the use of and for the first practical application to release printing of fine grain positive stock.
816,To CHARLES LOOTENS and the REPUBLIC STUDIO SOUND DEPARTMENT for pioneering the use of and for the first practical application to motion picture production of CLASS B push-pull variable area recording.
817,"To WILBUR SILVERTOOTH and the PARAMOUNT STUDIO ENGINEERING DEPARTMENT for the design and computation of a relay condenser system applicable to transparency process projection, delivering considerably more usable light."
818,"To PARAMOUNT PICTURES, INC., and 20TH CENTURY-FOX FILM CORP. for the development and first practical application to motion picture production of an automatic scene slating device."
819,"To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT, and to LOREN RYDER and the PARAMOUNT STUDIO SOUND DEPARTMENT for pioneering the development of fine grain emulsions for variable density original sound recording in studio production."
820,Walter Pidgeon
821,Monty Woolley
822,William Bendix
823,Van Heflin
824,Henry Travers
825,Rosalind Russell
826,Gladys Cooper
827,Agnes Moorehead
828,Susan Peters
829,George Washington Slept Here
830,The Magnificent Ambersons
831,The Pride of the Yankees
832,Random Harvest
833,The Shanghai Gesture
834,Silver Queen
835,The Spoilers
836,"Take a Letter, Darling"
837,The Talk of the Town
838,This above All
839,Arabian Nights
840,Captains of the Clouds
